methodology_id,name,methodology_link
EUCoM:methodology,Common Reporting Framework,https://www.globalcovenantofmayors.org/wp-content/uploads/2019/04/FINAL_Data-TWG_Reporting-Framework_website_FINAL-13-Sept-2018_for-translation.pdf
GCoMEC:methodology,Common Reporting Framework with additional checks by publishers,https://data.jrc.ec.europa.eu/dataset/9cefa6ca-1391-4bcb-a9c8-46e029cf99bb
GCoMH:methodology,Common Reporting Framework with additional checks by publishers,https://essd.copernicus.org/articles/13/3551/2021/
