target_id,actor_id,target_type,baseline_year,target_year,target_value,target_unit,URL,datasource_id
US_climate_alliance:US-CA:2030,US-CA,Absolute emissions reduction,1990,2030,40,percent,https://ww2.arb.ca.gov/sites/default/files/2022-05/2022-draft-sp.pdf,US_climate_alliance:2022
US_climate_alliance:US-CO:2025,US-CO,Absolute emissions reduction,2005,2025,26,percent,https://energyoffice.colorado.gov/climate-energy/ghg-pollution-reduction-roadmap,US_climate_alliance:2022
US_climate_alliance:US-CO:2030,US-CO,Absolute emissions reduction,2005,2030,50,percent,https://energyoffice.colorado.gov/climate-energy/ghg-pollution-reduction-roadmap,US_climate_alliance:2022
US_climate_alliance:US-CO:2050,US-CO,Absolute emissions reduction,2005,2050,90,percent,https://energyoffice.colorado.gov/climate-energy/ghg-pollution-reduction-roadmap,US_climate_alliance:2022
US_climate_alliance:US-CT:2030,US-CT,Absolute emissions reduction,2001,2030,45,percent,https://portal.ct.gov/-/media/DEEP/climatechange/GC3/GC3_Phase1_Report_Jan2021.pdf,US_climate_alliance:2022
US_climate_alliance:US-DE:2025,US-DE,Absolute emissions reduction,2005,2025,26,percent,https://documents.dnrec.delaware.gov/energy/Documents/Climate/Plan/Delaware-Climate-Action-Plan-2021.pdf,US_climate_alliance:2022
US_climate_alliance:US-HI:2030,US-HI,Absolute emissions reduction,2005,2030,50,percent,https://hawaii2050.hawaii.gov/wp-content/uploads/2021/07/FINAL-Hawaii-2050-Sustainability-Plan-web-1.pdf,US_climate_alliance:2022
US_climate_alliance:US-IL:2030,US-IL,Absolute emissions reduction,2005,2030,26,percent,https://www.ilga.gov/legislation/102/SB/10200SB2408lv.htm,US_climate_alliance:2022
US_climate_alliance:US-LA:2025,US-LA,Absolute emissions reduction,2005,2025,26,percent,https://gov.louisiana.gov/assets/docs/CCI-Task-force/CAP/Climate_Action_Plan_FINAL_3.pdf,US_climate_alliance:2022
US_climate_alliance:US-LA:2030,US-LA,Absolute emissions reduction,2005,2030,40,percent,https://gov.louisiana.gov/assets/docs/CCI-Task-force/CAP/Climate_Action_Plan_FINAL_3.pdf,US_climate_alliance:2022
US_climate_alliance:US-LA:2050,US-LA,Absolute emissions reduction,2005,2050,100,percent,https://gov.louisiana.gov/assets/docs/CCI-Task-force/CAP/Climate_Action_Plan_FINAL_3.pdf,US_climate_alliance:2022
US_climate_alliance:US-MA:2025,US-MA,Absolute emissions reduction,1990,2025,33,percent,https://www.mass.gov/doc/clean-energy-and-climate-plan-for-2025-and-2030/download,US_climate_alliance:2022
US_climate_alliance:US-MA:2030,US-MA,Absolute emissions reduction,1990,2030,50,percent,https://www.mass.gov/doc/clean-energy-and-climate-plan-for-2025-and-2030/download,US_climate_alliance:2022
US_climate_alliance:US-MD:2031,US-MD,Absolute emissions reduction,2006,2031,60,percent,https://www.gfrlaw.com/what-we-do/insights/climate-solutions-now-act-2022,US_climate_alliance:2022
US_climate_alliance:US-MD:2045,US-MD,Absolute emissions reduction,2006,2045,100,percent,https://www.gfrlaw.com/what-we-do/insights/climate-solutions-now-act-2022,US_climate_alliance:2022
US_climate_alliance:US-ME:2030,US-ME,Absolute emissions reduction,1990,2030,45,percent,https://www.maine.gov/climateplan/sites/maine.gov.climateplan/files/inline-files/MaineWontWait_December2020_printable_12.1.20.pdf,US_climate_alliance:2022
US_climate_alliance:US-ME:2050,US-ME,Absolute emissions reduction,1990,2050,80,percent,https://www.maine.gov/climateplan/sites/maine.gov.climateplan/files/inline-files/MaineWontWait_December2020_printable_12.1.20.pdf,US_climate_alliance:2022
US_climate_alliance:US-MI:2025,US-MI,Absolute emissions reduction,2005,2025,28,percent,https://www.michigan.gov/egle/-/media/Project/Websites/egle/Documents/Offices/OCE/MI-Healthy-Climate-Plan.pdf?rev=d13f4adc2b1d45909bd708cafccbfffa,US_climate_alliance:2022
US_climate_alliance:US-MI:2030,US-MI,Absolute emissions reduction,2005,2030,52,percent,https://www.michigan.gov/egle/-/media/Project/Websites/egle/Documents/Offices/OCE/MI-Healthy-Climate-Plan.pdf?rev=d13f4adc2b1d45909bd708cafccbfffa,US_climate_alliance:2022
US_climate_alliance:US-MN:2030,US-MN,Absolute emissions reduction,2005,2030,50,percent,https://climate.state.mn.us/sites/climate-action/files/Climate%20Action%20Framework.pdf,US_climate_alliance:2022
US_climate_alliance:US-MN:2050,US-MN,Absolute emissions reduction,2005,2050,100,percent,https://climate.state.mn.us/sites/climate-action/files/Climate%20Action%20Framework.pdf,US_climate_alliance:2022
US_climate_alliance:US-NC:2030,US-NC,Absolute emissions reduction,2005,2030,50,percent,https://governor.nc.gov/media/2907/open,US_climate_alliance:2022
US_climate_alliance:US-NC:2050,US-NC,Absolute emissions reduction,2005,2050,100,percent,https://governor.nc.gov/media/2907/open,US_climate_alliance:2022
US_climate_alliance:US-NJ:2030,US-NJ,Absolute emissions reduction,2006,2030,50,percent,https://nj.gov/infobank/eo/056murphy/pdf/EO-274.pdf,US_climate_alliance:2022
US_climate_alliance:US-NJ:2050,US-NJ,Absolute emissions reduction,2006,2050,80,percent,https://nj.gov/infobank/eo/056murphy/pdf/EO-274.pdf,US_climate_alliance:2022
US_climate_alliance:US-NM:2030,US-NM,Absolute emissions reduction,2005,2030,45,percent,https://www.climateaction.nm.gov/wp-content/uploads/2022/05/NMClimateChange_2021_final.pdf,US_climate_alliance:2022
US_climate_alliance:US-NM:2050,US-NM,Absolute emissions reduction,2005,2050,100,percent,https://www.climateaction.nm.gov/wp-content/uploads/2022/05/NMClimateChange_2021_final.pdf,US_climate_alliance:2022
US_climate_alliance:US-NV:2025,US-NV,Absolute emissions reduction,2005,2025,28,percent,https://climateaction.nv.gov/wp-content/uploads/2021/01/NVClimateStrategy_011921.pdf,US_climate_alliance:2022
