"population","population_year","City.Location","lat","lng"
69262,2020,"POINT (12.4887 55.7335)","55.7335","12.4887"
55754,2020,NA,NA,NA
119980,2019,"POINT (-83.743 42.2808)","42.2808","-83.743"
775530,2015,"POINT (121.061 14.5869)","14.5869","121.061"
47729,2011,"POINT (-8.44582 40.5753)","40.5753","-8.44582"
26201,2011,NA,NA,NA
1653461,2020,"POINT (-34.8829 -8.05783)","-8.05783","-34.8829"
2440553,2010,"POINT (-79.9223 -2.17099)","-2.17099","-79.9223"
582602,2015,"POINT (121.024 14.5547)","14.5547","121.024"
127119,2018,"POINT (20.263 63.8258)","63.8258","20.263"
131808,2017,NA,NA,NA
355218,2018,"POINT (-1.1333 52.6333)","52.6333","-1.1333"
902522,2020,"POINT (-90.5069 14.6349)","14.6349","-90.5069"
NA,NA,NA,NA,NA
149280,2020,NA,NA,NA
417865,2020,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
84613,2021,"POINT (24.35 55.7333)","55.7333","24.35"
57469,2021,NA,NA,NA
15892788,2011,"POINT (88.3639 22.5726)","22.5726","88.3639"
56596,2011,NA,NA,NA
475862,2019,NA,NA,NA
86217,2020,NA,NA,NA
399724000,2015,NA,NA,NA
NA,NA,NA,NA,NA
196300,2020,"POINT (41.7606 88.3201)","88.3201","41.7606"
579000,2019,"POINT (-79.8661 43.25)","43.25","-79.8661"
312132,2015,"POINT (-104.783 20.517)","20.517","-104.783"
NA,NA,NA,NA,NA
114148,2016,"POINT (123.378 48.4594)","48.4594","123.378"
78530,2019,"POINT (-9.30148 38.7637)","38.7637","-9.30148"
NA,NA,NA,NA,NA
503443,2021,"POINT (-94.573 39.1429)","39.1429","-94.573"
31000,2017,"POINT (34.344 31.3231)","31.3231","34.344"
58612,2016,NA,NA,NA
210711,2020,NA,NA,NA
NA,NA,NA,NA,NA
147993,2020,"POINT (-97.1331 33.2148)","33.2148","-97.1331"
12320,2020,NA,NA,NA
21338,2017,NA,NA,NA
286211,2020,"POINT (-47.2669 -22.8219)","-22.8219","-47.2669"
24000,2017,"POINT (-84.1503 10.0035)","10.0035","-84.1503"
90401,2019,"POINT (-118.481 34.0219)","34.0219","-118.481"
255042,2019,"POINT (-2.67 42.84)","42.84","-2.67"
24826,2020,NA,NA,NA
200591,2018,"POINT (-111.891 40.7608)","40.7608","-111.891"
333794,2019,NA,NA,NA
NA,NA,"POINT (-37.7142 -7.10801)","-7.10801","-37.7142"
NA,NA,NA,NA,NA
34119,2020,NA,NA,NA
3402000,2011,NA,NA,NA
438100,2019,"POINT (-7.1101 52.2593)","52.2593","-7.1101"
121219,2015,"POINT (120.19 16.37)","16.37","120.19"
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
2233,2018,NA,NA,NA
282529,2021,NA,NA,NA
135520,2018,"POINT (-79.2469 43.1594)","43.1594","-79.2469"
16821,2020,NA,NA,NA
NA,NA,NA,NA,NA
1036738,2020,"POINT (126.949 35.1542)","35.1542","126.949"
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
84400,2021,"POINT (174.354 -39.1011)","-39.1011","174.354"
NA,NA,NA,NA,NA
36951,2020,"POINT (-46.328 -22.8403)","-22.8403","-46.328"
744955,2018,"POINT (-122.332 47.6062)","47.6062","-122.332"
1721215,2020,"POINT (-101.684 21.1221)","21.1221","-101.684"
34119,2020,NA,NA,NA
329475,2020,NA,NA,NA
NA,NA,"POINT (121.567 38.9389)","38.9389","121.567"
65333,2017,"POINT (-77.0273 -12.0977)","-12.0977","-77.0273"
228848,2018,NA,NA,NA
579000,2019,"POINT (-79.8661 43.25)","43.25","-79.8661"
78860,2010,NA,NA,NA
228848,2018,NA,NA,NA
1653461,2020,"POINT (-34.8829 -8.05783)","-8.05783","-34.8829"
22256,2018,NA,NA,NA
792646,2021,"POINT (11.5167 3.8667)","3.8667","11.5167"
2197447,2011,NA,NA,NA
417000,2020,"POINT (-81.2497 42.9837)","42.9837","-81.2497"
189331,2020,"POINT (-8.43821 41.5337)","41.5337","-8.43821"
5870000,2020,"POINT (28.0473 -26.2041)","-26.2041","28.0473"
294464,2021,"POINT (14.5058 46.0569)","46.0569","14.5058"
NA,NA,NA,NA,NA
1080507,2021,NA,NA,NA
5243392,2020,"POINT (-103.35 20.6597)","20.6597","-103.35"
NA,NA,NA,NA,NA
199150,2020,"POINT (-0.32574 51.448)","51.448","-0.32574"
488839,2021,"POINT (-75.6906 4.80871)","4.80871","-75.6906"
86217,2020,NA,NA,NA
8202,2021,"POINT (10.8939 43.05)","43.05","10.8939"
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
8299,2018,NA,NA,NA
149280,2020,NA,NA,NA
6586,2021,NA,NA,NA
3838,2019,NA,NA,NA
56596,2011,NA,NA,NA
