"actor_id","emissions_id","year","total_emissions","datasource_id"
"HN TGU","CDPCitiesTargets:2021:target:HN TGU",2040,557322,"CDPCitiesTargets:2021"
"DK HVV","CDPCitiesTargets:2021:target:DK HVV",2050,0,"CDPCitiesTargets:2021"
"TW KHH","CDPCitiesTargets:2021:base:TW KHH",2005,67372856,"CDPCitiesTargets:2021"
"TW KHH","CDPCitiesTargets:2021:target:TW KHH",2030,53898284.8,"CDPCitiesTargets:2021"
"RO ALI","CDPCitiesTargets:2021:target:RO ALI",2030,130000,"CDPCitiesTargets:2021"
"MZ MNC","CDPCitiesTargets:2021:base:MZ MNC",2016,204104,"CDPCitiesTargets:2021"
"MZ MNC","CDPCitiesTargets:2021:BAU:MZ MNC",2030,261622,"CDPCitiesTargets:2021"
"ES VIT","CDPCitiesTargets:2021:base:ES VIT",2006,49279,"CDPCitiesTargets:2021"
"ES VIT","CDPCitiesTargets:2021:target:ES VIT",2020,21682.76,"CDPCitiesTargets:2021"
"ID MLG","CDPCitiesTargets:2021:base:ID MLG",2012,1323755,"CDPCitiesTargets:2021"
"ID MLG","CDPCitiesTargets:2021:BAU:ID MLG",2030,2639566,"CDPCitiesTargets:2021"
"BR CWB","CDPCitiesTargets:2021:base:BR CWB",2016,3505046,"CDPCitiesTargets:2021"
"BR CWB","CDPCitiesTargets:2021:BAU:BR CWB",2050,6855886,"CDPCitiesTargets:2021"
"DE HEI","CDPCitiesTargets:2021:base:DE HEI",2010,1225000,"CDPCitiesTargets:2021"
"DE HEI","CDPCitiesTargets:2021:target:DE HEI",2050,61250,"CDPCitiesTargets:2021"
"JP KIY","CDPCitiesTargets:2021:base:JP KIY",2013,3521100,"CDPCitiesTargets:2021"
"JP KIY","CDPCitiesTargets:2021:target:JP KIY",2030,2464770,"CDPCitiesTargets:2021"
"BR CPS","CDPCitiesTargets:2021:base:BR CPS",2016,2663901.43,"CDPCitiesTargets:2021"
"BR CPS","CDPCitiesTargets:2021:target:BR CPS",2025,2530706.3585,"CDPCitiesTargets:2021"
"TW TPE","CDPCitiesTargets:2021:base:TW TPE",2005,13073632,"CDPCitiesTargets:2021"
"TW TPE","CDPCitiesTargets:2021:target:TW TPE",2050,0,"CDPCitiesTargets:2021"
"JP OQM","CDPCitiesTargets:2021:base:JP OQM",2006,325000,"CDPCitiesTargets:2021"
"JP OQM","CDPCitiesTargets:2021:target:JP OQM",2050,97500,"CDPCitiesTargets:2021"
"AU MBA","CDPCitiesTargets:2021:target:AU MBA",2022,261000,"CDPCitiesTargets:2021"
"IN STV","CDPCitiesTargets:2021:base:IN STV",2019,18090000,"CDPCitiesTargets:2021"
"IN STV","CDPCitiesTargets:2021:target:IN STV",2030,10854000,"CDPCitiesTargets:2021"
"IT FLR","CDPCitiesTargets:2021:base:IT FLR",2005,2519980,"CDPCitiesTargets:2021"
"IT FLR","CDPCitiesTargets:2021:target:IT FLR",2020,1990784.2,"CDPCitiesTargets:2021"
"IT FLR","CDPCitiesTargets:2021:base:IT FLR",2005,2519980,"CDPCitiesTargets:2021"
"IT FLR","CDPCitiesTargets:2021:target:IT FLR",2020,1990784.2,"CDPCitiesTargets:2021"
"HK HKG","CDPCitiesTargets:2021:base:HK HKG",2005,41200000,"CDPCitiesTargets:2021"
"HK HKG","CDPCitiesTargets:2021:target:HK HKG",2020,32960000,"CDPCitiesTargets:2021"
"TW TXG","CDPCitiesTargets:2021:base:TW TXG",2005,18581188,"CDPCitiesTargets:2021"
"TW TXG","CDPCitiesTargets:2021:target:TW TXG",2050,9290594,"CDPCitiesTargets:2021"
"TZ DAR","CDPCitiesTargets:2021:base:TZ DAR",2000,2267961,"CDPCitiesTargets:2021"
"TZ DAR","CDPCitiesTargets:2021:target:TZ DAR",2015,2041164.9,"CDPCitiesTargets:2021"
"JP TYO","CDPCitiesTargets:2021:target:JP TYO",2050,0,"CDPCitiesTargets:2021"
"SE VTA","CDPCitiesTargets:2021:base:SE VTA",2005,18177,"CDPCitiesTargets:2021"
"DK GLX","CDPCitiesTargets:2021:base:DK GLX",2007,499740,"CDPCitiesTargets:2021"
"DK GLX","CDPCitiesTargets:2021:target:DK GLX",2030,149922,"CDPCitiesTargets:2021"
"PT AGU","CDPCitiesTargets:2021:base:PT AGU",2002,385172,"CDPCitiesTargets:2021"
"PT AGU","CDPCitiesTargets:2021:target:PT AGU",2020,258065.24,"CDPCitiesTargets:2021"
"CR CAS","CDPCitiesTargets:2021:base:CR CAS",2018,8913.75,"CDPCitiesTargets:2021"
"CR CAS","CDPCitiesTargets:2021:target:CR CAS",2023,8138.25375,"CDPCitiesTargets:2021"
"BR REC","CDPCitiesTargets:2021:target:BR REC",2050,0,"CDPCitiesTargets:2021"
"PH MTI","CDPCitiesTargets:2021:base:PH MTI",2018,762776.35,"CDPCitiesTargets:2021"
"PH MTI","CDPCitiesTargets:2021:target:PH MTI",2028,709382.0055,"CDPCitiesTargets:2021"
"SE UME","CDPCitiesTargets:2021:base:SE UME",2018,11.5,"CDPCitiesTargets:2021"
"SE UME","CDPCitiesTargets:2021:target:SE UME",2050,1.035,"CDPCitiesTargets:2021"
"PT EVR","CDPCitiesTargets:2021:base:PT EVR",2020,3.94,"CDPCitiesTargets:2021"
"PT EVR","CDPCitiesTargets:2021:target:PT EVR",2022,2.89984,"CDPCitiesTargets:2021"
"SE KID","CDPCitiesTargets:2021:base:SE KID",1990,618504,"CDPCitiesTargets:2021"
"SE KID","CDPCitiesTargets:2021:target:SE KID",2040,154626,"CDPCitiesTargets:2021"
"PT TVE","CDPCitiesTargets:2021:base:PT TVE",2009,5861,"CDPCitiesTargets:2021"
"PT TVE","CDPCitiesTargets:2021:target:PT TVE",2020,4161.31,"CDPCitiesTargets:2021"
"JP KUA","CDPCitiesTargets:2021:base:JP KUA",2013,34518526,"CDPCitiesTargets:2021"
"JP KUA","CDPCitiesTargets:2021:target:JP KUA",2050,6903705.2,"CDPCitiesTargets:2021"
"AR CEO","CDPCitiesTargets:2021:base:AR CEO",2017,54645,"CDPCitiesTargets:2021"
"AR CEO","CDPCitiesTargets:2021:BAU:AR CEO",2030,123687,"CDPCitiesTargets:2021"
