"name","type","iso","actor_id"
"Chacabuco","City","ARG","AR CCO"
"Rotorua Lakes","City","NZL","NZ ROT"
"Rajkot","City","IND","IN RAJ"
"Glasgow","City","GBR","GB GLW"
"Hwaseong","City","KOR","KR HWS"
"Zaragoza","City","ESP","ES ZAZ"
"Kyoto City","City","JPN","JP UKY"
"Desamparados","City","CRI","CR DE2"
"Reconquista","City","ARG","AR RCQ"
"Dakar","City","SEN","SN DKR"
"Bologna","City","ITA","IT BLQ"
"Hokuto","City","JPN","JP HKO"
"Copenhagen","City","DNK","DK CPH"
"Turin","City","ITA","IT TRN"
"Baguio","City","PHL","PH BAG"
"Santiago","City","CHL","CL SCL"
"Dunedin","City","NZL","NZ DUD"
"Puerto Vallarta","City","MEX","MX PVR"
"Godoy Cruz","City","ARG","AR GCR"
"Viseu","City","PRT","PT VSE"
"Blitar","City","IDN","ID BTR"
"Bekasi","City","IDN","ID BKA"
"Ville De Charleroi","City","BEL","BE CRL"
"Wroclaw","City","POL","PL WRO"
"Cocody","City","CIV","CI COD"
"Aarhus","City","DNK","DK AAR"
"Himeji","City","JPN","JP HIM"
"Temuco","City","CHL","CL ZCO"
"Yokohama","City","JPN","JP YOK"
"Dangjin City","City","KOR","KR TJI"
"Rosario","City","ARG","AR ROS"
"Middelfart","City","DNK","DK MID"
"Trelleborg","City","SWE","SE TRG"
"Fortaleza","City","BRA","BR FOR"
"Sydney","City","AUS","AU SYD"
"Lagos","City","NGA","NG LOS"
"Salvador","City","BRA","BR SSA"
"Belo Horizonte","City","BRA","BR BHZ"
"Winchester","City","GBR","GB WNE"
"Linköping","City","SWE","SE LPI"
"Madrid","City","ESP","ES MAD"
"Pietermaritzburg","City","ZAF","ZA PZB"
"Auckland","City","NZL","NZ AKL"
"Tangerang","City","IDN","ID TRG"
"Serra Talhada","City","BRA","BR STD"
"Medellìn","City","COL","CO MDE"
"Cape Town","City","ZAF","ZA CPT"
"Oki","City","JPN","JP OKI"
"Fafe","City","PRT","PT FFE"
"Oslo","City","NOR","NO OSL"
"Valencia","City","ESP","ES VLC"
"Espoo","City","FIN","FI ES2"
"Toluca","City","MEX","MX TLC"
"Bergen","City","NOR","NO BGO"
"Tarija","City","BOL","BO TJA"
"Arendal","City","NOR","NO ARE"
"Guimarães","City","PRT","PT GUI"
