"name","iso","entity_type","City.Location","lat","lng"
"Kinmen","TWN","City",NA,NA,NA
"Rostock","DEU","City","POINT (12.1405 54.0887)","54.0887","12.1405"
"Valdivia","CHL","City",NA,NA,NA
"Sumaré","BRA","City","POINT (-47.2669 -22.8219)","-22.8219","-47.2669"
"Surat","IND","City",NA,NA,NA
"Itabashi","JPN","City",NA,NA,NA
"Recife","BRA","City","POINT (-34.8829 -8.05783)","-8.05783","-34.8829"
"Oki","JPN","City",NA,NA,NA
"Rotterdam","NLD","City","POINT (4.45093 51.9164)","51.9164","4.45093"
"Amsterdam","NLD","City","POINT (4.89516 52.3702)","52.3702","4.89516"
"Cartagena","COL","City","POINT (-75.5501 10.4218)","10.4218","-75.5501"
"Tangerang","IDN","City",NA,NA,NA
"Wandsworth","GBR","City",NA,NA,NA
"Mendoza","ARG","City","POINT (-68.8458 -32.8894)","-32.8894","-68.8458"
"Manchester","GBR","City",NA,NA,NA
"La Marsa","TUN","City","POINT (10.3218 36.8725)","36.8725","10.3218"
"Cocody","CIV","City","POINT (-3.9674 5.3602)","5.3602","-3.9674"
"Abidjan","CIV","City","POINT (-4.0083 5.36)","5.36","-4.0083"
"Corrientes","ARG","City",NA,NA,NA
"Antananarivo","MDG","City","POINT (47.5079 -18.8792)","-18.8792","47.5079"
"Torres Vedras","PRT","City","POINT (-9.30148 38.7637)","38.7637","-9.30148"
"Roskilde","DNK","City","POINT (12.0878 55.6419)","55.6419","12.0878"
"Quepos","CRI","City",NA,NA,NA
"Toyama","JPN","City",NA,NA,NA
"San Martín de los Andes","ARG","City",NA,NA,NA
"San José","CRI","City","POINT (9.9326 -84.0796)","-84.0796","9.9326"
"Kitakyushu","JPN","City",NA,NA,NA
"Tbilisi","GEO","City","POINT (44.8271 41.7151)","41.7151","44.8271"
"Hokuei","JPN","City",NA,NA,NA
"Barcelona","ESP","City","POINT (2.1775 41.3823)","41.3823","2.1775"
"Talca","CHL","City",NA,NA,NA
"Campinas","BRA","City","POINT (-46.9372 -22.744)","-22.744","-46.9372"
"Gothenburg","SWE","City",NA,NA,NA
"Gothenburg","SWE","City",NA,NA,NA
"Amman","JOR","City","POINT (35.9284 31.9454)","31.9454","35.9284"
"Elsinore","DNK","City","POINT (12.5921 56.0308)","56.0308","12.5921"
"Iida","JPN","City",NA,NA,NA
"Sukabumi","IDN","City",NA,NA,NA
"Dar es Salaam","TZA","City","POINT (39.2083 -6.79235)","-6.79235","39.2083"
"Yamato","JPN","City",NA,NA,NA
"San Isidro (Lima)","PER","City","POINT (-77.0273 -12.0977)","-12.0977","-77.0273"
"Desamparados","CRI","City",NA,NA,NA
"Providencia","CHL","City","POINT (-70.6092 -33.4313)","-33.4313","-70.6092"
"Cuenca","ECU","City","POINT (-79.0048 -2.90841)","-2.90841","-79.0048"
"Daegu","KOR","City",NA,NA,NA
"Desamparados","CRI","City",NA,NA,NA
"Sandnes","NOR","City",NA,NA,NA
"Elsinore","DNK","City","POINT (12.5921 56.0308)","56.0308","12.5921"
"Recife","BRA","City","POINT (-34.8829 -8.05783)","-8.05783","-34.8829"
"Stockholm","SWE","City","POINT (18.0686 59.3293)","59.3293","18.0686"
"Tainan","TWN","City","POINT (120.227 22.9999)","22.9999","120.227"
"Myoko","JPN","City",NA,NA,NA
"Shizuoka","JPN","City",NA,NA,NA
"Culiacán","MEX","City",NA,NA,NA
"Sunderland","GBR","City",NA,NA,NA
"Kadiköy","TUR","City","POINT (29.0585 40.98)","40.98","29.0585"
"Tainan","TWN","City","POINT (120.227 22.9999)","22.9999","120.227"
"Kyoto City","JPN","City",NA,NA,NA
"Reykjavík","ISL","City","POINT (-21.8174 64.1265)","64.1265","-21.8174"
"Buenos Aires","ARG","City","POINT (-58.3816 -34.6037)","-34.6037","-58.3816"
"Nihonmatsu City","JPN","City",NA,NA,NA
"Semarang","IDN","City",NA,NA,NA
"Dhaka","BGD","City","POINT (90.4125 23.8103)","23.8103","90.4125"
"Ibaraki","JPN","City",NA,NA,NA
"Skövde","SWE","City",NA,NA,NA
"Riga","LVA","City","POINT (24.1052 56.9496)","56.9496","24.1052"
"Istanbul","TUR","City","POINT (28.9784 41.0082)","41.0082","28.9784"
"Myoko","JPN","City",NA,NA,NA
"Buenos Aires","ARG","City","POINT (-58.3816 -34.6037)","-34.6037","-58.3816"
"Umeå","SWE","City","POINT (20.263 63.8258)","63.8258","20.263"
"Kampala","UGA","City",NA,NA,NA
"Lund","SWE","City",NA,NA,NA
"L'Aquila","ITA","City","POINT (13.3995 42.3505)","42.3505","13.3995"
"L'Aquila","ITA","City","POINT (13.3995 42.3505)","42.3505","13.3995"
"Heidelberg","DEU","City","POINT (8.67243 49.3988)","49.3988","8.67243"
"Ocú","PAN","City",NA,NA,NA
"Sunderland","GBR","City",NA,NA,NA
"Vitoria-Gasteiz","ESP","City","POINT (-2.67 42.84)","42.84","-2.67"
"Hvidovre","DNK","City","POINT (12.4754 55.6425)","55.6425","12.4754"
"Nilüfer","TUR","City","POINT (28 40)","40","28"
"Porto Velho","BRA","City","POINT (-40.3776 -20.3338)","-20.3338","-40.3776"
"Lund","SWE","City",NA,NA,NA
"Gibraltar","GIB","City","POINT (-5.35359 36.1408)","36.1408","-5.35359"
"Cocody","CIV","City","POINT (-3.9674 5.3602)","5.3602","-3.9674"
"Kitakyushu","JPN","City",NA,NA,NA
"Comas","PER","City","POINT (-77.0667 -11.95)","-11.95","-77.0667"
"Milan","ITA","City","POINT (9.08635 45.8026)","45.8026","9.08635"
"Milan","ITA","City","POINT (9.08635 45.8026)","45.8026","9.08635"
"Tsukuba","JPN","City",NA,NA,NA
"Sydney","AUS","City","POINT (151.207 -33.8675)","-33.8675","151.207"
"Muar","MYS","City",NA,NA,NA
"Suita","JPN","City",NA,NA,NA
"Sakuragawa","JPN","City",NA,NA,NA
"Milan","ITA","City","POINT (9.08635 45.8026)","45.8026","9.08635"
"Milan","ITA","City","POINT (9.08635 45.8026)","45.8026","9.08635"
"Skövde","SWE","City",NA,NA,NA
"Florence","ITA","City","POINT (11.2558 43.7696)","43.7696","11.2558"
"Florence","ITA","City","POINT (11.2558 43.7696)","43.7696","11.2558"
"Ljubljana","SVN","City","POINT (14.5058 46.0569)","46.0569","14.5058"
"Addis Ababa","ETH","City","POINT (38.7544 9.02887)","9.02887","38.7544"
"Balikpapan","IDN","City","POINT (116.831 -1.26539)","-1.26539","116.831"
"New Taipei City","TWN","City","POINT (121.446 25.0111)","25.0111","121.446"
"Ferrara","ITA","City","POINT (11.619 44.8357)","44.8357","11.619"
"Salvador","BRA","City","POINT (-38.5023 -12.973)","-12.973","-38.5023"
"Berlin","DEU","City","POINT (13.405 52.52)","52.52","13.405"
"Southend on Sea Borough","GBR","City",NA,NA,NA
"Roskilde","DNK","City","POINT (12.0878 55.6419)","55.6419","12.0878"
"Celaya","MEX","City","POINT (-100.812 20.5222)","20.5222","-100.812"
"Chiayi","TWN","City",NA,NA,NA
"Montecarlo","ARG","City",NA,NA,NA
"Melaka","MYS","City",NA,NA,NA
"Kanazawa","JPN","City",NA,NA,NA
"Araçatuba","BRA","City","POINT (-50.4328 -21.2089)","-21.2089","-50.4328"
"Aarhus","DNK","City","POINT (10.1374 56.1684)","56.1684","10.1374"
"Sorocaba","BRA","City","POINT (-47.4221 -23.4775)","-23.4775","-47.4221"
"Yokosuka","JPN","City",NA,NA,NA
"Kitakyushu","JPN","City",NA,NA,NA
"Salvador","BRA","City","POINT (-38.5023 -12.973)","-12.973","-38.5023"
"Curitiba","BRA","City","POINT (-49.2647 -25.4311)","-25.4311","-49.2647"
"Kamakura","JPN","City",NA,NA,NA
"Southend on Sea Borough","GBR","City",NA,NA,NA
"Helsingborg","SWE","City",NA,NA,NA
"Wellington","NZL","City","POINT (174.776 -41.2865)","-41.2865","174.776"
