"name","iso","entity_type","City.Location","lat","lng"
"Kanazawa","JPN","City",NA,NA,NA
"Lund","SWE","City",NA,NA,NA
"Florianópolis","BRA","City","POINT (-48.5482 -27.595)","-27.595","-48.5482"
"Amsterdam","NLD","City","POINT (4.89516 52.3702)","52.3702","4.89516"
"Belen","CRI","City","POINT (-84.1503 10.0035)","10.0035","-84.1503"
"Pingtung","TWN","City","POINT (120.47 22.6558)","22.6558","120.47"
"Niigata","JPN","City",NA,NA,NA
"Reykjavík","ISL","City","POINT (-21.8174 64.1265)","64.1265","-21.8174"
"Kampala","UGA","City",NA,NA,NA
"Amsterdam","NLD","City","POINT (4.89516 52.3702)","52.3702","4.89516"
"Podgorica","MNE","City","POINT (19.2594 42.4304)","42.4304","19.2594"
"Envigado","COL","City",NA,NA,NA
"Lisbon","PRT","City","POINT (-9.13933 38.7223)","38.7223","-9.13933"
"Lisbon","PRT","City","POINT (-9.13933 38.7223)","38.7223","-9.13933"
"San Isidro (Lima)","PER","City","POINT (-77.0273 -12.0977)","-12.0977","-77.0273"
"Lausanne","CHE","City",NA,NA,NA
"Kadiovacik","TUR","City","POINT (26.5536 38.3434)","38.3434","26.5536"
"Gdynia","POL","City","POINT (18.5305 54.5189)","54.5189","18.5305"
"Belen","CRI","City","POINT (-84.1503 10.0035)","10.0035","-84.1503"
"Campinas","BRA","City","POINT (-46.9372 -22.744)","-22.744","-46.9372"
"Antalya","TUR","City",NA,NA,NA
"Bristol","GBR","City",NA,NA,NA
"Berlin","DEU","City","POINT (13.405 52.52)","52.52","13.405"
"Recife","BRA","City","POINT (-34.8829 -8.05783)","-8.05783","-34.8829"
"Elsinore","DNK","City","POINT (12.5921 56.0308)","56.0308","12.5921"
"Kurashiki","JPN","City",NA,NA,NA
"Milan","ITA","City","POINT (9.08635 45.8026)","45.8026","9.08635"
"Milan","ITA","City","POINT (9.08635 45.8026)","45.8026","9.08635"
"Trondheim","NOR","City","POINT (10.395 63.4305)","63.4305","10.395"
"San Justo","ARG","City",NA,NA,NA
"Parma","ITA","City","POINT (10.3279 44.8015)","44.8015","10.3279"
"Envigado","COL","City",NA,NA,NA
"San Antonio de Areco","ARG","City",NA,NA,NA
"Cuenca","ECU","City","POINT (-79.0048 -2.90841)","-2.90841","-79.0048"
"Musashino","JPN","City",NA,NA,NA
"Helsingborg","SWE","City",NA,NA,NA
"Edinburgh","GBR","City",NA,NA,NA
"Zapopan","MEX","City",NA,NA,NA
"Kuala Lumpur","MYS","City","POINT (101.687 3.139)","3.139","101.687"
"Wellington","NZL","City","POINT (174.776 -41.2865)","-41.2865","174.776"
"Sunderland","GBR","City",NA,NA,NA
"Helsingborg","SWE","City",NA,NA,NA
"Fredensborg","DNK","City","POINT (12.4058 55.9747)","55.9747","12.4058"
"Utsunomiya City","JPN","City",NA,NA,NA
"Nice","FRA","City","POINT (7.26195 43.7102)","43.7102","7.26195"
"Sumaré","BRA","City","POINT (-47.2669 -22.8219)","-22.8219","-47.2669"
"Recife","BRA","City","POINT (-34.8829 -8.05783)","-8.05783","-34.8829"
"Le Havre","FRA","City","POINT (0.1 49.49)","49.49","0.1"
"Ibadan","NGA","City","POINT (3.94704 7.37753)","7.37753","3.94704"
"Akureyri","ISL","City","POINT (-18.1262 65.6885)","65.6885","-18.1262"
"Helsingborg","SWE","City",NA,NA,NA
"Guangzhou","CHN","City","POINT (113.264 23.1291)","23.1291","113.264"
"Zapopan","MEX","City",NA,NA,NA
"Taoyuan","TWN","City","POINT (121.301 24.9931)","24.9931","121.301"
"Fredensborg","DNK","City","POINT (12.4058 55.9747)","55.9747","12.4058"
"Quepos","CRI","City",NA,NA,NA
"Bern","CHE","City",NA,NA,NA
"Saitama City","JPN","City",NA,NA,NA
"Suwon","KOR","City","POINT (126.805 37.17)","37.17","126.805"
"San José","CRI","City","POINT (9.9326 -84.0796)","-84.0796","9.9326"
"Rouen","FRA","City",NA,NA,NA
"Porto","PRT","City","POINT (-8.6291 41.1579)","41.1579","-8.6291"
"Sintra","PRT","City","POINT (-9.38811 38.7984)","38.7984","-9.38811"
"Rouen","FRA","City",NA,NA,NA
"San Isidro (Lima)","PER","City","POINT (-77.0273 -12.0977)","-12.0977","-77.0273"
"Accra","GHA","City","POINT (-0.16819 5.56543)","5.56543","-0.16819"
"Singapore","SGP","City","POINT (103.82 1.35208)","1.35208","103.82"
"Ulsan","KOR","City",NA,NA,NA
"Resistencia","ARG","City",NA,NA,NA
"Quezon City","PHL","City","POINT (120.862 15.6835)","15.6835","120.862"
"Handa","JPN","City",NA,NA,NA
"Taipei","TWN","City","POINT (121.564 25.0375)","25.0375","121.564"
"Rouen","FRA","City",NA,NA,NA
"Wellington","NZL","City","POINT (174.776 -41.2865)","-41.2865","174.776"
"Florence","ITA","City","POINT (11.2558 43.7696)","43.7696","11.2558"
"Florence","ITA","City","POINT (11.2558 43.7696)","43.7696","11.2558"
"Zagreb","HRV","City","POINT (15.9819 45.815)","45.815","15.9819"
"Sincelejo","COL","City","POINT (-75.3906 9.30457)","9.30457","-75.3906"
"Recife","BRA","City","POINT (-34.8829 -8.05783)","-8.05783","-34.8829"
"Rio de Janeiro","BRA","City","POINT (-43.5614 -22.9054)","-22.9054","-43.5614"
"Växjö","SWE","City","POINT (14.8091 56.8777)","56.8777","14.8091"
"Basel","CHE","City","POINT (7.5928 47.5619)","47.5619","7.5928"
"Gothenburg","SWE","City",NA,NA,NA
"Gothenburg","SWE","City",NA,NA,NA
"Abidjan","CIV","City","POINT (-4.0083 5.36)","5.36","-4.0083"
"Sakuragawa","JPN","City",NA,NA,NA
"Gothenburg","SWE","City",NA,NA,NA
"Gothenburg","SWE","City",NA,NA,NA
"Porto","PRT","City","POINT (-8.6291 41.1579)","41.1579","-8.6291"
"Tegucigalpa","HND","City","POINT (-87.2044 14.1051)","14.1051","-87.2044"
"Mora","SWE","City",NA,NA,NA
"Chuncheon","KOR","City",NA,NA,NA
"Chuncheon","KOR","City",NA,NA,NA
"Ljubljana","SVN","City","POINT (14.5058 46.0569)","46.0569","14.5058"
"Chihuahua","MEX","City","POINT (-106.076 28.6368)","28.6368","-106.076"
"Hvidovre","DNK","City","POINT (12.4754 55.6425)","55.6425","12.4754"
"Yasothon","THA","City",NA,NA,NA
"Independencia","CHL","City","POINT (-68.8154 -32.8421)","-32.8421","-68.8154"
"Bern","CHE","City",NA,NA,NA
"Zürich","CHE","City","POINT (8.53918 47.3686)","47.3686","8.53918"
"Paris","FRA","City","POINT (2.35222 48.8566)","48.8566","2.35222"
"Odawara","JPN","City",NA,NA,NA
"Canoas","BRA","City","POINT (-51.1862 -29.9133)","-29.9133","-51.1862"
"Västervik","SWE","City","POINT (16.3484 57.9587)","57.9587","16.3484"
"Amsterdam","NLD","City","POINT (4.89516 52.3702)","52.3702","4.89516"
"Rouen","FRA","City",NA,NA,NA
"Faro","PRT","City","POINT (-7.93044 37.0194)","37.0194","-7.93044"
"Assisi","ITA","City","POINT (12.6196 43.0707)","43.0707","12.6196"
"Hague","NLD","City","POINT (4.3007 52.0705)","52.0705","4.3007"
"Faro","PRT","City","POINT (-7.93044 37.0194)","37.0194","-7.93044"
