"target_id","tag_id"
"CDPCitiesTargets:2021:CO BOG","BAU"
"CDPCitiesTargets:2021:CO BOG","self_reported"
"CDPCitiesTargets:2021:GB MNC","self_reported"
"CDPCitiesTargets:2021:ES MJV","self_reported"
"CDPCitiesTargets:2021:CO ENV","BAU"
"CDPCitiesTargets:2021:CO ENV","self_reported"
"CDPCitiesTargets:2021:JP KIJ","self_reported"
"CDPCitiesTargets:2021:ES BCN","self_reported"
"CDPCitiesTargets:2021:JP TZK","self_reported"
"CDPCitiesTargets:2021:HK HKG","self_reported"
"CDPCitiesTargets:2021:JP TOY","self_reported"
"CDPCitiesTargets:2021:NO TRD","self_reported"
"CDPCitiesTargets:2021:SE LUD","self_reported"
"CDPCitiesTargets:2021:IT NAP","self_reported"
"CDPCitiesTargets:2021:IT NAP","self_reported"
"CDPCitiesTargets:2021:SE FKG","self_reported"
"CDPCitiesTargets:2021:JP KNZ","self_reported"
"CDPCitiesTargets:2021:KR SEL","self_reported"
"CDPCitiesTargets:2021:JP SHO","self_reported"
"CDPCitiesTargets:2021:SE VXO","self_reported"
"CDPCitiesTargets:2021:ME TGD","self_reported"
"CDPCitiesTargets:2021:CR SJO","self_reported"
"CDPCitiesTargets:2021:DK FRE","self_reported"
"CDPCitiesTargets:2021:JP HMM","self_reported"
"CDPCitiesTargets:2021:IT BZO","self_reported"
"CDPCitiesTargets:2021:MX ZAP","BAU"
"CDPCitiesTargets:2021:MX ZAP","self_reported"
"CDPCitiesTargets:2021:JP NQU","self_reported"
"CDPCitiesTargets:2021:SE KID","self_reported"
"CDPCitiesTargets:2021:GB NTG","self_reported"
"CDPCitiesTargets:2021:FR NCE","self_reported"
"CDPCitiesTargets:2021:CR CAS","self_reported"
"CDPCitiesTargets:2021:KR TAE","BAU"
"CDPCitiesTargets:2021:KR TAE","self_reported"
"CDPCitiesTargets:2021:TW KHH","self_reported"
"CDPCitiesTargets:2021:MZ MNC","BAU"
"CDPCitiesTargets:2021:MZ MNC","self_reported"
"CDPCitiesTargets:2021:ES VIT","self_reported"
"CDPCitiesTargets:2021:ID MLG","BAU"
"CDPCitiesTargets:2021:ID MLG","self_reported"
"CDPCitiesTargets:2021:BR CWB","BAU"
"CDPCitiesTargets:2021:BR CWB","self_reported"
"CDPCitiesTargets:2021:DE HEI","self_reported"
"CDPCitiesTargets:2021:JP KIY","self_reported"
"CDPCitiesTargets:2021:BR CPS","self_reported"
"CDPCitiesTargets:2021:TW TPE","self_reported"
"CDPCitiesTargets:2021:JP OQM","self_reported"
"CDPCitiesTargets:2021:IN STV","self_reported"
"CDPCitiesTargets:2021:IT FLR","self_reported"
"CDPCitiesTargets:2021:IT FLR","self_reported"
"CDPCitiesTargets:2021:HK HKG","self_reported"
"CDPCitiesTargets:2021:TW TXG","self_reported"
"CDPCitiesTargets:2021:TZ DAR","self_reported"
"CDPCitiesTargets:2021:SE VTA","self_reported"
"CDPCitiesTargets:2021:DK GLX","self_reported"
"CDPCitiesTargets:2021:PT AGU","self_reported"
"CDPCitiesTargets:2021:CR CAS","self_reported"
"CDPCitiesTargets:2021:PH MTI","self_reported"
"CDPCitiesTargets:2021:SE UME","self_reported"
"CDPCitiesTargets:2021:PT EVR","self_reported"
"CDPCitiesTargets:2021:SE KID","self_reported"
"CDPCitiesTargets:2021:PT TVE","self_reported"
"CDPCitiesTargets:2021:JP KUA","self_reported"
"CDPCitiesTargets:2021:AR CEO","BAU"
"CDPCitiesTargets:2021:AR CEO","self_reported"
"CDPCitiesTargets:2021:BR SME","self_reported"
"CDPCitiesTargets:2021:CR BLN","self_reported"
"CDPCitiesTargets:2021:ES VIT","self_reported"
"CDPCitiesTargets:2021:SE VTA","self_reported"
"CDPCitiesTargets:2021:JP KWE","self_reported"
"CDPCitiesTargets:2021:SE VTA","self_reported"
"CDPCitiesTargets:2021:JP KIY","self_reported"
"CDPCitiesTargets:2021:PE SDR","self_reported"
"CDPCitiesTargets:2021:CO ENV","BAU"
"CDPCitiesTargets:2021:CO ENV","self_reported"
"CDPCitiesTargets:2021:CO ENV","BAU"
"CDPCitiesTargets:2021:CO ENV","self_reported"
"CDPCitiesTargets:2021:PT BGZ","self_reported"
"CDPCitiesTargets:2021:ZA JNB","BAU"
"CDPCitiesTargets:2021:ZA JNB","self_reported"
"CDPCitiesTargets:2021:SI LJU","self_reported"
"CDPCitiesTargets:2021:SE KID","self_reported"
"CDPCitiesTargets:2021:PT EVR","self_reported"
"CDPCitiesTargets:2021:DE MHG","self_reported"
"CDPCitiesTargets:2021:SE LUD","self_reported"
"CDPCitiesTargets:2021:BR FLN","self_reported"
"CDPCitiesTargets:2021:NL AMS","self_reported"
"CDPCitiesTargets:2021:CR BLN","self_reported"
"CDPCitiesTargets:2021:TW PIF","self_reported"
"CDPCitiesTargets:2021:JP KIJ","self_reported"
"CDPCitiesTargets:2021:IS REY","self_reported"
"CDPCitiesTargets:2021:UG KLA","BAU"
"CDPCitiesTargets:2021:UG KLA","self_reported"
"CDPCitiesTargets:2021:NL AMS","self_reported"
"CDPCitiesTargets:2021:ME TGD","self_reported"
"CDPCitiesTargets:2021:CO ENV","BAU"
"CDPCitiesTargets:2021:CO ENV","self_reported"
"CDPCitiesTargets:2021:PT LIS","self_reported"
"CDPCitiesTargets:2021:PT LIS","self_reported"
"CDPCitiesTargets:2021:PE SDR","self_reported"
"CDPCitiesTargets:2021:PL GDY","self_reported"
"CDPCitiesTargets:2021:CR BLN","self_reported"
"CDPCitiesTargets:2021:BR CPS","self_reported"
"CDPCitiesTargets:2021:TR AYT","BAU"
"CDPCitiesTargets:2021:TR AYT","self_reported"
"CDPCitiesTargets:2021:GB BRS","self_reported"
"CDPCitiesTargets:2021:DK HLS","self_reported"
"CDPCitiesTargets:2021:JP KUA","self_reported"
"CDPCitiesTargets:2021:IT MIL","self_reported"
"CDPCitiesTargets:2021:IT MIL","self_reported"
"CDPCitiesTargets:2021:NO TRD","self_reported"
"CDPCitiesTargets:2021:AR SJO","BAU"
"CDPCitiesTargets:2021:AR SJO","self_reported"
"CDPCitiesTargets:2021:IT PMF","self_reported"
"CDPCitiesTargets:2021:CO ENV","BAU"
"CDPCitiesTargets:2021:CO ENV","self_reported"
"CDPCitiesTargets:2021:AR SAO","BAU"
"CDPCitiesTargets:2021:AR SAO","self_reported"
"CDPCitiesTargets:2021:EC CUE","self_reported"
"CDPCitiesTargets:2021:JP MUH","self_reported"
"CDPCitiesTargets:2021:MX ZAP","BAU"
"CDPCitiesTargets:2021:MX ZAP","self_reported"
"CDPCitiesTargets:2021:MY KUL","self_reported"
"CDPCitiesTargets:2021:NZ WLG","self_reported"
"CDPCitiesTargets:2021:SE HEL","self_reported"
"CDPCitiesTargets:2021:DK FRE","self_reported"
"CDPCitiesTargets:2021:FR NCE","self_reported"
"CDPCitiesTargets:2021:BR SME","self_reported"
"CDPCitiesTargets:2021:MX ZAP","BAU"
"CDPCitiesTargets:2021:MX ZAP","self_reported"
"CDPCitiesTargets:2021:TW TYN","self_reported"
"CDPCitiesTargets:2021:DK FRE","self_reported"
"CDPCitiesTargets:2021:CR QPS","self_reported"
"CDPCitiesTargets:2021:JP STM","self_reported"
"CDPCitiesTargets:2021:KR SUO","self_reported"
"CDPCitiesTargets:2021:CR SJO","self_reported"
"CDPCitiesTargets:2021:PT OPO","self_reported"
"CDPCitiesTargets:2021:PT STA","self_reported"
"CDPCitiesTargets:2021:FR URO","self_reported"
"CDPCitiesTargets:2021:PE SDR","self_reported"
"CDPCitiesTargets:2021:GH ACC","BAU"
"CDPCitiesTargets:2021:GH ACC","self_reported"
"CDPCitiesTargets:2021:SG SIN","self_reported"
"CDPCitiesTargets:2021:KR USN","BAU"
"CDPCitiesTargets:2021:KR USN","self_reported"
"CDPCitiesTargets:2021:AR RES","BAU"
"CDPCitiesTargets:2021:AR RES","self_reported"
"CDPCitiesTargets:2021:PH QZT","BAU"
"CDPCitiesTargets:2021:PH QZT","self_reported"
"CDPCitiesTargets:2021:JP HDA","self_reported"
"CDPCitiesTargets:2021:TW TPE","self_reported"
"CDPCitiesTargets:2021:FR URO","self_reported"
"CDPCitiesTargets:2021:NZ WLG","self_reported"
"CDPCitiesTargets:2021:IT FLR","self_reported"
"CDPCitiesTargets:2021:IT FLR","self_reported"
"CDPCitiesTargets:2021:HR ZAG","self_reported"
"CDPCitiesTargets:2021:SE VXO","self_reported"
"CDPCitiesTargets:2021:SE GOT","self_reported"
"CDPCitiesTargets:2021:SE GOT","self_reported"
"CDPCitiesTargets:2021:JP S67","self_reported"
"CDPCitiesTargets:2021:SE GOT","self_reported"
"CDPCitiesTargets:2021:SE GOT","self_reported"
"CDPCitiesTargets:2021:PT OPO","self_reported"
"CDPCitiesTargets:2021:SE MRA","self_reported"
"CDPCitiesTargets:2021:KR CHC","self_reported"
"CDPCitiesTargets:2021:KR CHC","self_reported"
"CDPCitiesTargets:2021:SI LJU","self_reported"
"CDPCitiesTargets:2021:TH YNT","BAU"
"CDPCitiesTargets:2021:TH YNT","self_reported"
"CDPCitiesTargets:2021:CL IND","self_reported"
"CDPCitiesTargets:2021:CH ZRH","self_reported"
"CDPCitiesTargets:2021:FR PAR","self_reported"
"CDPCitiesTargets:2021:JP ODW","self_reported"
"CDPCitiesTargets:2021:IT ASI","self_reported"
"CDPCitiesTargets:2021:NL HAG","self_reported"
