"population","population_year","actor_id"
210440,2017,"IT PDA"
210440,2017,"IT PDA"
38100,2019,"MC MON"
90107,NA,"IT LCV"
26201,2011,"CR CAS"
902,2018,"AR URA"
1043070,2020,"ID BOG"
583056,2020,"SE GOT"
583056,2020,"SE GOT"
277417,2018,"GB SUN"
149280,2020,"SE HEL"
583056,2020,"SE GOT"
583056,2020,"SE GOT"
332500,2020,"GB WAN"
4394694,2020,"TR IZM"
255042,2019,"ES VIT"
280242,2020,"KR YOS"
1175501,2020,"BR CPS"
6041000,2019,"TZ DAR"
3411200,2020,"AE DXB"
125941,2020,"SE LUD"
540000,2016,"FR NCE"
290199,2010,"EC PVO"
NA,NA,"JP SHO"
51962,2018,"AR CCO"
8420887,2016,"TH BKK"
77300,2020,"NZ ROT"
149280,2020,"SE HEL"
547757,2021,"NL HAG"
6207299,2021,"IN STV"
434736,2020,"CH ZRH"
1797530,2020,"IN RAJ"
633120,2019,"GB GLW"
277417,2018,"GB SUN"
896967,2021,"KR HWS"
681877,2020,"ES ZAZ"
1452549,2021,"JP UKY"
434736,2020,"CH ZRH"
300000,2021,"CR DE2"
6747815,2019,"BR RIO"
540000,2016,"FR NCE"
1948626,2020,"BR CWB"
65333,2017,"PE SDR"
78570,2016,"AR RCQ"
1252786,2016,"SN DKR"
24000,2017,"CR BLN"
390636,2018,"IT BLQ"
872497,2021,"NL AMS"
NA,NA,"JP HKO"
638147,2021,"DK CPH"
1293611,2021,"HN TGU"
127119,2018,"SE UME"
866510,2020,"IT TRN"
866510,2020,"IT TRN"
345366,2015,"PH BAG"
347398,2020,"CR SJO"
38100,2019,"MC MON"
404495,2017,"CL SCL"
131100,2019,"NZ DUD"
418686,2015,"JP TOY"
291839,2020,"MX PVR"
127119,2018,"SE UME"
1653461,2020,"BR REC"
125941,2020,"SE LUD"
1680600,2020,"UG KLA"
1948626,2020,"BR CWB"
199392,2018,"AR GCR"
583056,2020,"SE GOT"
583056,2020,"SE GOT"
26861,2011,"CR QPS"
6041000,2019,"TZ DAR"
97676,2020,"PT VSE"
149149,2020,"ID BTR"
337098,2020,"GB NTG"
2446144,2020,"KR TAE"
8420887,2016,"TH BKK"
2873484,2017,"ID BKA"
201386,2021,"CH BSL"
1293611,2021,"HN TGU"
201837,2021,"BE CRL"
86217,2020,"SE KID"
145358,2020,"CH LAU"
640600,2018,"PL WRO"
640600,2018,"PL WRO"
640600,2018,"PL WRO"
2765932,2020,"TW KHH"
1000000,2021,"CI COD"
352739,2021,"DK AAR"
526555,2021,"JP HIM"
282415,2017,"CL ZCO"
3776146,2021,"JP YOK"
13957977,2021,"JP TYO"
166057,2020,"KR TJI"
65333,2017,"PE SDR"
998527,2019,"AR ROS"
39116,2021,"DK MID"
998527,2019,"AR ROS"
45877,2020,"SE TRG"
2686612,2020,"BR FOR"
3769000,2020,"DE BER"
248736,2020,"AU SYD"
21000000,2015,"NG LOS"
463400,2019,"GB BRS"
2886698,2020,"BR SSA"
2521564,2020,"BR BHZ"
345366,2015,"PH BAG"
2446144,2020,"KR TAE"
231962,2021,"PT OPO"
277417,2018,"GB SUN"
122000,2021,"GB WNE"
1664182,2020,"ES BCN"
77300,2020,"NZ ROT"
65333,2017,"PE SDR"
347398,2020,"CR SJO"
118964,2021,"JP HDA"
185937,2011,"ME TGD"
160754,2018,"SE LPI"
145358,2020,"CH LAU"
5052000,2016,"CI ABJ"
3223334,2018,"ES MAD"
532766,2021,"ZA PZB"
1618400,2018,"NZ AKL"
149280,2020,"SE HEL"
1895486,2020,"ID TRG"
86350,2019,"BR STD"
11936010,2020,"CN HAZ"
286178,2021,"KR CHC"
434736,2020,"CH ZRH"
2533424,2020,"CO MDE"
4423834,2018,"ZA CPT"
1653461,2020,"BR REC"
7481800,2020,"HK HKG"
6747815,2019,"BR RIO"
796670,2018,"JP KIJ"
1618400,2018,"NZ AKL"
65333,2017,"PE SDR"
365437,2020,"IT FLR"
365437,2020,"IT FLR"
NA,NA,"JP OKI"
13957977,2021,"JP TYO"
492681,2018,"FR URO"
NA,NA,"JP TZK"
65333,2017,"PE SDR"
48502,2021,"PT FFE"
697010,2021,"NO OSL"
800215,2020,"ES VLC"
255042,2019,"ES VIT"
292796,2020,"FI ES2"
910608,2020,"MX TLC"
285911,2021,"NO BGO"
265188,2019,"BO TJA"
6041000,2019,"TZ DAR"
39116,2021,"DK MID"
3769000,2020,"DE BER"
39116,2021,"DK MID"
44999,2019,"NO ARE"
156852,2021,"PT GUI"
936263,2020,"MX HMO"
277417,2018,"GB SUN"
1664182,2020,"ES BCN"
127119,2018,"SE UME"
3769000,2020,"DE BER"
1664182,2020,"ES BCN"
1240730,2020,"VN VCA"
286178,2021,"KR CHC"
9041395,2018,"MX MEX"
368000,2020,"GB CDF"
133262,2021,"IS REY"
347949,2020,"SE MMA"
365278,2020,"BR CAU"
1221095,2020,"KR SUO"
179000,2019,"NL NIJ"
24000,2017,"CR BLN"
183756,2020,"AU MEL"
147892,2019,"LT KLJ"
4423834,2018,"ZA CPT"
53282,2018,"DK HVV"
601574,2011,"IN KOC"
558930,2020,"IT GOA"
558930,2020,"IT GOA"
2101157,2020,"TR GZT"
29889,2020,"AU ADL"
921771,2020,"MX MID"
86217,2020,"SE KID"
395780,2021,"GB BOH"
NA,NA,"JP TSB"
67563,2017,"IT QCS"
NA,NA,"JP IAK"
1874917,2020,"TW TNN"
5052000,2016,"CI ABJ"
3306198,2017,"ZA PRY"
8574974,2017,"PE LIM"
1328120,2018,"BG SOF"
67563,2017,"IT QCS"
3360000,2014,"MA CAS"
112887,2010,"AR BRC"
552858,2020,"GB MNC"
127119,2018,"SE UME"
149280,2020,"SE HEL"
81522,2016,"AR VNT"
508519,2021,"JP MYJ"
2101157,2020,"TR GZT"
179000,2019,"NL NIJ"
583056,2020,"SE GOT"
583056,2020,"SE GOT"
1664182,2020,"ES BCN"
277417,2018,"GB SUN"
140597,2020,"TW KNH"
209755,2020,"DE RSK"
166080,2017,"CL ZAL"
286211,2020,"BR SME"
6207299,2021,"IN STV"
570024,2021,"JP ITB"
1653461,2020,"BR REC"
NA,NA,"JP OKI"
644618,2019,"NL RTM"
872497,2021,"NL AMS"
973045,2018,"CO CTG"
1895486,2020,"ID TRG"
332500,2020,"GB WAN"
115041,2010,"AR MDZ"
552858,2020,"GB MNC"
98500,2019,"TN L8T"
1000000,2021,"CI COD"
5052000,2016,"CI ABJ"
349648,2018,"AR CNQ"
1,2018,"MG TNR"
78530,2019,"PT TVE"
87542,2019,"DK RKE"
26861,2011,"CR QPS"
418686,2015,"JP TOY"
37078,2018,"AR CPC"
347398,2020,"CR SJO"
946338,2020,"JP KKJ"
1202731,2021,"GE TBS"
14736,2021,"JP HKY"
1664182,2020,"ES BCN"
220357,2017,"CL TLX"
1175501,2020,"BR CPS"
583056,2020,"SE GOT"
583056,2020,"SE GOT"
3800000,2018,"JO AMM"
62709,2019,"DK HLS"
98795,2021,"JP IDA"
346325,2020,"ID SUK"
6041000,2019,"TZ DAR"
NA,NA,"JP YIH"
65333,2017,"PE SDR"
300000,2021,"CR DE2"
142000,2018,"CL PRO"
505585,2010,"EC CUE"
2446144,2020,"KR TAE"
300000,2021,"CR DE2"
79559,2020,"NO SAS"
62709,2019,"DK HLS"
1653461,2020,"BR REC"
981105,2020,"SE STO"
1874917,2020,"TW TNN"
NA,NA,"JP MYO"
NA,NA,"JP SHO"
1003530,2021,"MX CUL"
277417,2018,"GB SUN"
482713,2019,"TR KAD"
1874917,2020,"TW TNN"
1452549,2021,"JP UKY"
133262,2021,"IS REY"
3068043,2018,"AR BUE"
NA,NA,"JP NQU"
1653524,2020,"ID SRG"
21741090,2021,"BD DAC"
NA,NA,"JP IAK"
56791,2020,"SE SKV"
614618,2021,"LV RIX"
15462452,2020,"TR IST"
NA,NA,"JP MYO"
3068043,2018,"AR BUE"
127119,2018,"SE UME"
1680600,2020,"UG KLA"
125941,2020,"SE LUD"
69951,2020,"IT LAQ"
69951,2020,"IT LAQ"
145512,2020,"DE HEI"
15539,2010,"PA OCU"
277417,2018,"GB SUN"
255042,2019,"ES VIT"
53282,2018,"DK HVV"
485000,2020,"TR NIL"
494,2014,"BR PVH"
125941,2020,"SE LUD"
35263,2019,"GI GIB"
1000000,2021,"CI COD"
946338,2020,"JP KKJ"
548565,2020,"PE COM"
1392502,2020,"IT MIL"
1392502,2020,"IT MIL"
NA,NA,"JP TSB"
248736,2020,"AU SYD"
281500,2018,"MY MUA"
376944,2021,"JP SUI"
NA,NA,"JP S67"
1392502,2020,"IT MIL"
1392502,2020,"IT MIL"
56791,2020,"SE SKV"
365437,2020,"IT FLR"
365437,2020,"IT FLR"
294464,2021,"SI LJU"
3689000,2020,"ET ADD"
688318,2020,"ID BPN"
4030954,2020,"TW NTC"
132448,2020,"IT FRR"
2886698,2020,"BR SSA"
3769000,2020,"DE BER"
183453,2019,"GB SAA"
87542,2019,"DK RKE"
526166,2019,"MX CLY"
266005,2020,"TW CYI"
25845,2016,"AR MTC"
524353,2018,"MY MEA"
465000,2018,"JP KNZ"
195874,2019,"BR ARU"
352739,2021,"DK AAR"
687357,2020,"BR SOR"
NA,NA,"JP YOS"
946338,2020,"JP KKJ"
2886698,2020,"BR SSA"
1948626,2020,"BR CWB"
NA,NA,"JP AAK"
183453,2019,"GB SAA"
149280,2020,"SE HEL"
215000,2020,"NZ WLG"
