"emissions_id","tag_id"
"CDPCitiesTargets:2021:target:JP KIY","target_em"
"CDPCitiesTargets:2021:base:PE SDR","baseline_em"
"CDPCitiesTargets:2021:target:PE SDR","target_em"
"CDPCitiesTargets:2021:base:CO ENV","baseline_em"
"CDPCitiesTargets:2021:BAU:CO ENV","BAU"
"CDPCitiesTargets:2021:base:CO ENV","baseline_em"
"CDPCitiesTargets:2021:BAU:CO ENV","BAU"
"CDPCitiesTargets:2021:target:BR REC","target_em"
"CDPCitiesTargets:2021:base:PT BGZ","baseline_em"
"CDPCitiesTargets:2021:target:PT BGZ","target_em"
"CDPCitiesTargets:2021:base:ZA JNB","baseline_em"
"CDPCitiesTargets:2021:BAU:ZA JNB","BAU"
"CDPCitiesTargets:2021:base:SI LJU","baseline_em"
"CDPCitiesTargets:2021:target:SI LJU","target_em"
"CDPCitiesTargets:2021:target:MX GDL","target_em"
"CDPCitiesTargets:2021:target:CO PEI","target_em"
"CDPCitiesTargets:2021:base:SE KID","baseline_em"
"CDPCitiesTargets:2021:target:SE KID","target_em"
"CDPCitiesTargets:2021:base:PT EVR","baseline_em"
"CDPCitiesTargets:2021:target:PT EVR","target_em"
"CDPCitiesTargets:2021:base:DE MHG","baseline_em"
"CDPCitiesTargets:2021:target:DE MHG","target_em"
"CDPCitiesTargets:2021:base:SE LUD","baseline_em"
"CDPCitiesTargets:2021:target:SE LUD","target_em"
"CDPCitiesTargets:2021:base:NL AMS","baseline_em"
"CDPCitiesTargets:2021:target:NL AMS","target_em"
"CDPCitiesTargets:2021:base:CR BLN","baseline_em"
"CDPCitiesTargets:2021:target:CR BLN","target_em"
"CDPCitiesTargets:2021:base:TW PIF","baseline_em"
"CDPCitiesTargets:2021:target:TW PIF","target_em"
"CDPCitiesTargets:2021:base:JP KIJ","baseline_em"
"CDPCitiesTargets:2021:target:JP KIJ","target_em"
"CDPCitiesTargets:2021:base:IS REY","baseline_em"
"CDPCitiesTargets:2021:target:IS REY","target_em"
"CDPCitiesTargets:2021:base:UG KLA","baseline_em"
"CDPCitiesTargets:2021:BAU:UG KLA","BAU"
"CDPCitiesTargets:2021:base:NL AMS","baseline_em"
"CDPCitiesTargets:2021:target:NL AMS","target_em"
"CDPCitiesTargets:2021:base:ME TGD","baseline_em"
"CDPCitiesTargets:2021:target:ME TGD","target_em"
"CDPCitiesTargets:2021:base:CO ENV","baseline_em"
"CDPCitiesTargets:2021:BAU:CO ENV","BAU"
"CDPCitiesTargets:2021:base:PT LIS","baseline_em"
"CDPCitiesTargets:2021:target:PT LIS","target_em"
"CDPCitiesTargets:2021:base:PT LIS","baseline_em"
"CDPCitiesTargets:2021:target:PT LIS","target_em"
"CDPCitiesTargets:2021:base:PE SDR","baseline_em"
"CDPCitiesTargets:2021:target:PE SDR","target_em"
"CDPCitiesTargets:2021:target:CH LAU","target_em"
"CDPCitiesTargets:2021:target:TR URL","target_em"
"CDPCitiesTargets:2021:base:CR BLN","baseline_em"
"CDPCitiesTargets:2021:target:CR BLN","target_em"
"CDPCitiesTargets:2021:base:BR CPS","baseline_em"
"CDPCitiesTargets:2021:target:BR CPS","target_em"
"CDPCitiesTargets:2021:base:TR AYT","baseline_em"
"CDPCitiesTargets:2021:BAU:TR AYT","BAU"
"CDPCitiesTargets:2021:base:GB BRS","baseline_em"
"CDPCitiesTargets:2021:target:GB BRS","target_em"
"CDPCitiesTargets:2021:target:BR REC","target_em"
"CDPCitiesTargets:2021:base:DK HLS","baseline_em"
"CDPCitiesTargets:2021:target:DK HLS","target_em"
"CDPCitiesTargets:2021:base:JP KUA","baseline_em"
"CDPCitiesTargets:2021:target:JP KUA","target_em"
"CDPCitiesTargets:2021:base:IT MIL","baseline_em"
"CDPCitiesTargets:2021:target:IT MIL","target_em"
"CDPCitiesTargets:2021:base:IT MIL","baseline_em"
"CDPCitiesTargets:2021:target:IT MIL","target_em"
"CDPCitiesTargets:2021:base:NO TRD","baseline_em"
"CDPCitiesTargets:2021:target:NO TRD","target_em"
"CDPCitiesTargets:2021:base:AR SJO","baseline_em"
"CDPCitiesTargets:2021:BAU:AR SJO","BAU"
"CDPCitiesTargets:2021:base:IT PMF","baseline_em"
"CDPCitiesTargets:2021:target:IT PMF","target_em"
"CDPCitiesTargets:2021:base:CO ENV","baseline_em"
"CDPCitiesTargets:2021:BAU:CO ENV","BAU"
"CDPCitiesTargets:2021:base:AR SAO","baseline_em"
"CDPCitiesTargets:2021:BAU:AR SAO","BAU"
"CDPCitiesTargets:2021:base:EC CUE","baseline_em"
"CDPCitiesTargets:2021:target:EC CUE","target_em"
"CDPCitiesTargets:2021:base:JP MUH","baseline_em"
"CDPCitiesTargets:2021:target:JP MUH","target_em"
"CDPCitiesTargets:2021:target:GB EDI","target_em"
"CDPCitiesTargets:2021:base:MX ZAP","baseline_em"
"CDPCitiesTargets:2021:BAU:MX ZAP","BAU"
"CDPCitiesTargets:2021:base:MY KUL","baseline_em"
"CDPCitiesTargets:2021:target:MY KUL","target_em"
"CDPCitiesTargets:2021:base:NZ WLG","baseline_em"
"CDPCitiesTargets:2021:target:NZ WLG","target_em"
"CDPCitiesTargets:2021:target:GB SUN","target_em"
"CDPCitiesTargets:2021:base:SE HEL","baseline_em"
"CDPCitiesTargets:2021:target:SE HEL","target_em"
"CDPCitiesTargets:2021:base:DK FRE","baseline_em"
"CDPCitiesTargets:2021:target:DK FRE","target_em"
"CDPCitiesTargets:2021:base:FR NCE","baseline_em"
"CDPCitiesTargets:2021:target:FR NCE","target_em"
"CDPCitiesTargets:2021:base:BR SME","baseline_em"
"CDPCitiesTargets:2021:target:BR SME","target_em"
"CDPCitiesTargets:2021:target:BR REC","target_em"
"CDPCitiesTargets:2021:target:IS AKU","target_em"
"CDPCitiesTargets:2021:base:MX ZAP","baseline_em"
"CDPCitiesTargets:2021:BAU:MX ZAP","BAU"
"CDPCitiesTargets:2021:base:TW TYN","baseline_em"
"CDPCitiesTargets:2021:target:TW TYN","target_em"
"CDPCitiesTargets:2021:base:CR QPS","baseline_em"
"CDPCitiesTargets:2021:target:CR QPS","target_em"
"CDPCitiesTargets:2021:target:CH BRN","target_em"
"CDPCitiesTargets:2021:base:JP STM","baseline_em"
"CDPCitiesTargets:2021:target:JP STM","target_em"
"CDPCitiesTargets:2021:base:KR SUO","baseline_em"
"CDPCitiesTargets:2021:target:KR SUO","target_em"
"CDPCitiesTargets:2021:base:CR SJO","baseline_em"
"CDPCitiesTargets:2021:target:CR SJO","target_em"
"CDPCitiesTargets:2021:target:FR URO","target_em"
"CDPCitiesTargets:2021:base:PT OPO","baseline_em"
"CDPCitiesTargets:2021:target:PT OPO","target_em"
"CDPCitiesTargets:2021:base:PT STA","baseline_em"
"CDPCitiesTargets:2021:target:PT STA","target_em"
"CDPCitiesTargets:2021:base:FR URO","baseline_em"
"CDPCitiesTargets:2021:target:FR URO","target_em"
"CDPCitiesTargets:2021:base:PE SDR","baseline_em"
"CDPCitiesTargets:2021:target:PE SDR","target_em"
"CDPCitiesTargets:2021:base:GH ACC","baseline_em"
"CDPCitiesTargets:2021:BAU:GH ACC","BAU"
"CDPCitiesTargets:2021:base:SG SIN","baseline_em"
"CDPCitiesTargets:2021:target:SG SIN","target_em"
"CDPCitiesTargets:2021:base:KR USN","baseline_em"
"CDPCitiesTargets:2021:BAU:KR USN","BAU"
"CDPCitiesTargets:2021:base:AR RES","baseline_em"
"CDPCitiesTargets:2021:BAU:AR RES","BAU"
"CDPCitiesTargets:2021:base:PH QZT","baseline_em"
"CDPCitiesTargets:2021:BAU:PH QZT","BAU"
"CDPCitiesTargets:2021:base:JP HDA","baseline_em"
"CDPCitiesTargets:2021:target:JP HDA","target_em"
"CDPCitiesTargets:2021:base:TW TPE","baseline_em"
"CDPCitiesTargets:2021:target:TW TPE","target_em"
"CDPCitiesTargets:2021:base:FR URO","baseline_em"
"CDPCitiesTargets:2021:target:FR URO","target_em"
"CDPCitiesTargets:2021:base:NZ WLG","baseline_em"
"CDPCitiesTargets:2021:target:NZ WLG","target_em"
"CDPCitiesTargets:2021:base:IT FLR","baseline_em"
"CDPCitiesTargets:2021:target:IT FLR","target_em"
"CDPCitiesTargets:2021:base:IT FLR","baseline_em"
"CDPCitiesTargets:2021:target:IT FLR","target_em"
"CDPCitiesTargets:2021:base:HR ZAG","baseline_em"
