"identifier","actor_id","namespace"
840132,"IT ASI","CDP"
43930,"NL HAG","CDP"
843399,"GB WAN","CDP"
54282,"CN HAZ","CDP"
848125,"CR ORE","CDP"
840521,"TR DNZ","CDP"
74631,"CD FBM","CDP"
42178,"EC UIO","CDP"
31150,"TH BKK","CDP"
36494,"IT PDA","CDP"
50792,"MC MON","CDP"
36477,"IT LCV","CDP"
73695,"AR URA","CDP"
54329,"ID BOG","CDP"
74673,"TR IZM","CDP"
44210,"KR YOS","CDP"
43938,"AE DXB","CDP"
831952,"EC PVO","CDP"
73694,"AR CCO","CDP"
54274,"NZ ROT","CDP"
54305,"IN RAJ","CDP"
31055,"GB GLW","CDP"
44196,"KR HWS","CDP"
46473,"ES ZAZ","CDP"
49389,"JP UKY","CDP"
832000,"CR DE2","CDP"
840030,"AR RCQ","CDP"
36032,"SN DKR","CDP"
36274,"IT BLQ","CDP"
834143,"JP HKO","CDP"
31009,"DK CPH","CDP"
35886,"IT TRN","CDP"
60003,"PH BAG","CDP"
60393,"CL SCL","CDP"
54268,"NZ DUD","CDP"
826148,"MX PVR","CDP"
73671,"AR GCR","CDP"
50674,"PT VSE","CDP"
840514,"ID BTR","CDP"
68337,"ID BKA","CDP"
60167,"BE CRL","CDP"
54497,"PL WRO","CDP"
73413,"CI COD","CDP"
54408,"DK AAR","CDP"
74371,"JP HIM","CDP"
60400,"CL ZCO","CDP"
31113,"JP YOK","CDP"
44299,"KR TJI","CDP"
50373,"AR ROS","CDP"
59180,"DK MID","CDP"
60236,"SE TRG","CDP"
35865,"BR FOR","CDP"
31114,"AU SYD","CDP"
31167,"NG LOS","CDP"
42120,"BR SSA","CDP"
35848,"BR BHZ","CDP"
60117,"GB WNE","CDP"
60178,"SE LPI","CDP"
31171,"ES MAD","CDP"
37261,"ZA PZB","CDP"
43932,"NZ AKL","CDP"
54318,"ID TRG","CDP"
840926,"BR STD","CDP"
35873,"CO MDE","CDP"
35858,"ZA CPT","CDP"
859174,"JP OKI","CDP"
50671,"PT FFE","CDP"
14088,"NO OSL","CDP"
35887,"ES VLC","CDP"
54409,"FI ES2","CDP"
50358,"MX TLC","CDP"
54492,"NO BGO","CDP"
60394,"BO TJA","CDP"
60229,"NO ARE","CDP"
55324,"PT GUI","CDP"
50361,"MX HMO","CDP"
54396,"VN VCA","CDP"
31172,"MX MEX","CDP"
31052,"GB CDF","CDP"
43940,"SE MMA","CDP"
54632,"BR CAU","CDP"
54478,"NL NIJ","CDP"
31109,"AU MEL","CDP"
60125,"LT KLJ","CDP"
834167,"IN KOC","CDP"
36262,"IT GOA","CDP"
50203,"TR GZT","CDP"
50382,"MX MID","CDP"
55166,"JP TSB","CDP"
36277,"IT QCS","CDP"
859148,"JP IAK","CDP"
54386,"TW TNN","CDP"
49360,"ZA PRY","CDP"
31170,"PE LIM","CDP"
43917,"BG SOF","CDP"
35903,"MA CAS","CDP"
60417,"AR BRC","CDP"
11315,"GB MNC","CDP"
60414,"AR VNT","CDP"
55181,"JP MYJ","CDP"
834161,"TW KNH","CDP"
54457,"DE RSK","CDP"
54613,"CL ZAL","CDP"
74375,"JP ITB","CDP"
31179,"NL RTM","CDP"
50374,"CO CTG","CDP"
